"[5, 1, 1, 4, 5]","[0.0, 0.0, 0.0, 6.667237883120322]"
"[5, 1, 1, 0, 3]","[0.0, 0.0, 0.0, 0.6832982831903014]"
"[5, 1, 1, 3, 1]","[0.0, 0.0, 0.0, 41.07180397780165]"
"[5, 1, 1, 3, 6]","[0.0, 0.0, 12.328187970068985, 0.0]"
"[5, 1, 1, 3, 3]","[0.0, 0.0, 0.0, 22.093987236403365]"
"[5, 1, 1, 3, 4]","[0.0, 0.0, 0.0, 37.94167449828235]"
"[5, 1, 1, 3, 2]","[0.0, 0.0, 0.0, 35.835649398356566]"
"[5, 1, 8, 5, 1]","[0.0, 0.0, 13.625487541513301, 0.0]"
"[5, 1, 0, 5, 3]","[0.0, 0.0, -2.241713691100956, 0.0]"
"[5, 1, 0, 5, 5]","[0.0, 0.0, 13.106960631412761, 0.0]"
"[5, 1, 3, 5, 2]","[0.0, 0.0, 24.151925982679806, 0.0]"
"[0, 1, 1, 1, 2]","[25.624853956217333, 0.0, 0.0, 0.0]"
"[8, 1, 1, 1, 4]","[0.006663673767499714, 0.0, 0.0, 0.0]"
"[4, 1, 1, 1, 6]","[-2.542566083905307, 27.004530821555228, 0.7922967362251603, 2.124925248254272]"
"[5, 1, 1, 8, 6]","[0.0, 5.289747278667278, 0.9742153057023438, 0.9091462612561628]"
"[5, 1, 1, 4, 2]","[0.0, 0.0, 0.0, 8.237331680130477]"
"[5, 1, 1, 0, 5]","[0.0, 0.0, 0.0, 25.921847083921236]"
"[5, 1, 7, 5, 2]","[0.0, 0.0, 12.800257928234016, 0.0]"
"[5, 1, 4, 5, 5]","[0.0, 0.0, 25.490150333646525, 0.0]"
"[5, 1, 4, 5, 3]","[0.0, 0.0, 29.552090684919225, 0.0]"
"[5, 1, 3, 5, 3]","[0.0, 0.0, 21.662185034578126, 0.0]"
"[5, 8, 5, 5, 3]","[0.0, 9.763422386261274, 0.0, 0.0]"
"[5, 0, 5, 5, 1]","[0.0, 13.369248190691643, 0.0, 0.0]"
"[8, 1, 1, 1, 2]","[0.03321867707255549, 0.0, 0.0, 0.0]"
"[4, 1, 1, 1, 1]","[12.74040607696302, 0.0, 0.0, 0.0]"
"[4, 1, 1, 1, 2]","[13.604259856907206, 0.0, 0.0, 0.0]"
"[7, 1, 1, 1, 2]","[0.2576812565083271, 0.0, 0.0, 0.0]"
"[3, 1, 1, 1, 1]","[10.390951628584585, 0.0, 0.0, 0.0]"
"[5, 1, 1, 8, 4]","[0.0, 0.0, 0.0, 12.871122249271824]"
"[5, 1, 1, 3, 5]","[0.0, 0.0, 0.0, 12.051697832653382]"
"[5, 1, 3, 5, 1]","[0.0, 0.0, 25.857124074670313, 0.0]"
"[7, 1, 1, 1, 4]","[0.3327754122124155, 0.0, 0.0, 0.0]"
"[7, 1, 1, 1, 5]","[-44.33453081264146, 0.0, 0.0, 0.0]"
"[5, 1, 1, 7, 2]","[0.0, 0.0, 0.0, 22.622351837227203]"
"[5, 1, 1, 7, 4]","[0.0, 0.0, 0.0, 11.878028076663371]"
"[5, 1, 4, 5, 2]","[0.0, 0.0, 15.002792803259133, 0.0]"
"[5, 7, 5, 5, 3]","[0.0, 47.37251858642171, 0.0, 0.0]"
"[5, 4, 5, 5, 2]","[0.0, 11.84723594070406, 0.0, 0.0]"
"[5, 4, 5, 5, 5]","[0.0, 32.61823627106173, 0.0, 0.0]"
"[5, 0, 5, 5, 5]","[0.0, 2.866996451406706, 0.0, 0.0]"
"[5, 3, 5, 5, 2]","[0.0, 27.390561593580493, 0.0, 0.0]"
"[5, 3, 5, 5, 4]","[0.0, 4.471850801559562, 0.0, 0.0]"
"[5, 3, 5, 5, 1]","[0.0, 24.933187341862908, 0.0, 0.0]"
"[5, 1, 7, 5, 1]","[0.0, 0.0, 31.812997465987596, 0.0]"
"[5, 1, 8, 5, 3]","[0.0, 0.0, 20.468730233374828, 0.0]"
"[5, 1, 3, 5, 5]","[0.0, 0.0, 5.611375835927555, 0.0]"
"[5, 1, 3, 5, 6]","[0.0, 56.94430254499089, 0.0, 0.0]"
"[5, 1, 3, 5, 4]","[0.0, 0.0, 23.28324089365706, 0.0]"
"[7, 1, 1, 1, 1]","[9.169103817686855, 0.0, 0.0, 0.0]"
"[8, 1, 1, 1, 6]","[0.03230930323399531, 0.0011675134207439417, 0.0, 0.03522358359892162]"
"[5, 1, 8, 5, 5]","[0.0, 0.0, 8.512302158124083, 0.0]"
"[5, 1, 7, 5, 6]","[0.0, 100.2829639438991, 27.417666633838937, 0.0]"
"[5, 7, 5, 5, 2]","[0.0, 3.2617689216687076, 0.0, 0.0]"
"[5, 8, 5, 5, 2]","[0.0, 8.997397783124617, 0.0, 0.0]"
"[5, 0, 5, 5, 3]","[0.0, 4.489052232212581, 0.0, 0.0]"
"[5, 1, 8, 8, 1]","[0.0, 0.0, 0.0, 4.300590275174123]"
"[5, 1, 0, 8, 5]","[0.0, 0.0, -7.576456403394523, 1.5873920880865626]"
"[5, 1, 0, 1, 1]","[0.0, 0.0, 25.053491845856517, 0.0]"
"[5, 1, 0, 1, 3]","[0.0, 0.0, 7.1690243214998315, 0.0]"
"[5, 1, 0, 1, 6]","[0.0, 29.677619269925874, -1.0976444346578211, 0.192864476896986]"
"[5, 1, 0, 8, 2]","[0.0, 0.0, 26.311136130807242, 6.916341616860584]"
"[5, 1, 0, 0, 2]","[0.0, 0.0, 19.731929340218258, -8.671375683739086]"
"[5, 1, 0, 0, 5]","[0.0, 0.0, -6.900937120145948, 24.596765732257303]"
